Price,Close,High,Low,Open,Volume,SharesOutstanding,TrailingPE,ForwardPE,EarningsPerShare
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2020-01-02,72.53851318359375,72.59889150198023,71.29230380764884,71.54588979671196,135480400,14840390000,39.018208,30.942238,6.59
2020-01-03,71.83328247070312,72.59404771603535,71.6086769224392,71.76565905712691,146322800,14840390000,39.018208,30.942238,6.59
2020-01-06,72.40567779541016,72.44432080433776,70.7030121336898,70.95418800651902,118387200,14840390000,39.018208,30.942238,6.59
2020-01-07,72.06514739990234,72.67134068922641,71.84536944211234,72.41533721540509,108872000,14840390000,39.018208,30.942238,6.59
2020-01-08,73.22441864013672,73.52631026770732,71.76809372355218,71.76809372355218,132079200,14840390000,39.018208,30.942238,6.59
2020-01-09,74.77975463867188,74.97296230565743,73.9513658951312,74.20253438813242,170108400,14840390000,39.018208,30.942238,6.59
2020-01-10,74.94881439208984,75.51396196419593,74.44647000292952,75.01402769601006,140644800,14840390000,39.018208,30.942238,6.59
2020-01-13,76.55004119873047,76.57661149006776,75.1468497409281,75.26519625077637,121532000,14840390000,39.018208,30.942238,6.59
2020-01-14,75.51637268066406,76.69737618985954,75.39320591637785,76.48726080979424,161954400,14840390000,39.018208,30.942238,6.59
2020-01-15,75.19275665283203,76.19745295500711,74.76044574351113,75.31593080536074,121923600,14840390000,39.018208,30.942238,6.59
2020-01-16,76.13465881347656,76.24576025053994,75.37389330782143,75.73616329817168,108829200,14840390000,39.018208,30.942238,6.59
2020-01-17,76.9775390625,76.97994918369933,76.07669177323754,76.38341102005822,137816400,14840390000,39.018208,30.942238,6.59
2020-01-21,76.45587158203125,77.04757477909159,76.31820722415463,76.60560865744733,110843200,14840390000,39.018208,30.942238,6.59
2020-01-22,76.72877502441406,77.28183515069573,76.63458130371416,76.94130052804331,101832400,14840390000,39.018208,30.942238,6.59
2020-01-23,77.09830474853516,77.17800090627688,76.23368287998045,76.78192286864785,104472000,14840390000,39.018208,30.942238,6.59
2020-01-24,76.87609100341797,78.08848500678306,76.68529344990502,77.34462735281411,146537600,14840390000,39.018208,30.942238,6.59
2020-01-27,74.61552429199219,75.29658608064733,73.63256355928529,74.8836004716033,161940000,14840390000,39.018208,30.942238,6.59
2020-01-28,76.72635650634766,76.89782887589077,75.39803343183497,75.4970547636558,162234000,14840390000,39.018208,30.942238,6.59
2020-01-29,78.33241271972656,79.1801266517597,77.61753550777614,78.35898301190313,216229200,14840390000,39.018208,30.942238,6.59
2020-01-30,78.2188949584961,78.27202816821715,76.98234829996913,77.41465908040864,126743200,14840390000,39.018208,30.942238,6.59
2020-01-31,74.75078582763672,77.9315119457232,74.456139298992,77.50886365949354,199588400,14840390000,39.018208,30.942238,6.59
2020-02-03,74.54550170898438,75.7120077933663,72.99015534954077,73.492499808615,173788400,14840390000,39.018208,30.942238,6.59
2020-02-04,77.00651550292969,77.197313069489,75.74581580955447,76.15155637582674,136616400,14840390000,39.018208,30.942238,6.59
2020-02-05,77.63442993164062,78.43383812507085,77.03064686286258,78.13435671108577,118826800,14840390000,39.018208,30.942238,6.59
2020-02-06,78.54252624511719,78.54494373627665,77.34704001476739,77.90493506301061,105425600,14840390000,39.018208,30.942238,6.59
2020-02-07,77.47494506835938,78.29077542045333,76.98350975131173,78.0414266120576,117684000,14840390000,39.018208,30.942238,6.59
2020-02-10,77.84288787841797,77.84288787841797,75.97882681770385,76.05871208817942,109348800,14840390000,39.018208,30.942238,6.59
2020-02-11,77.37323760986328,78.41179042644524,77.15536130814662,78.33916745517011,94323200,14840390000,39.018208,30.942238,6.59
2020-02-12,79.21068572998047,79.21552479911539,77.8235277760248,77.8235277760248,113730400,14840390000,39.018208,30.942238,6.59
2020-02-13,78.64662170410156,78.97343988034811,78.27865296968668,78.48200469564426,94747600,14840390000,39.018208,30.942238,6.59
2020-02-14,78.66598510742188,78.91533382442148,78.1576021480164,78.61514163995746,80113600,14840390000,39.018208,30.942238,6.59
2020-02-18,77.22557830810547,77.40714314738784,76.16281523598434,76.34438007526671,152531200,14840390000,39.018208,30.942238,6.59
2020-02-19,78.3440170288086,78.57400211516978,77.46766524775612,77.46766524775612,93984000,14840390000,39.018208,30.942238,6.59
2020-02-20,77.54029846191406,78.59337615293093,77.03433859303921,78.10436411115981,100566000,14840390000,39.018208,30.942238,6.59
2020-02-21,75.78515625,77.57660179653178,75.16783878997336,77.13357947900434,129554000,14840390000,39.018208,30.942238,6.59
2020-02-24,72.18534851074219,73.63786746473984,70.01867883709842,71.9626330750162,222195200,14840390000,39.018208,30.942238,6.59
2020-02-25,69.7402572631836,73.23840922009403,69.26819314550896,72.8559159017165,230673600,14840390000,39.018208,30.942238,6.59
2020-02-26,70.84659576416016,72.11271051529036,69.35776562363947,69.3650279213828,198054800,14840390000,39.018208,30.942238,6.59
2020-02-27,66.21549224853516,69.23673421957639,66.07992440892687,68.0505119290574,320605600,14840390000,39.018208,30.942238,6.59
2020-02-28,66.17675018310547,67.39929122080478,62.06370365251087,62.27916414492055,426510000,14840390000,39.018208,30.942238,6.59
2020-03-02,72.33785247802734,72.97454103190371,67.23225006740749,68.33616370279057,341397200,14840390000,39.018208,30.942238,6.59
2020-03-03,70.04044342041016,73.59427022253612,69.18829451063576,73.51438495619033,319475600,14840390000,39.018208,30.942238,6.59
2020-03-04,73.28925323486328,73.44903118653338,70.9628058782761,71.7641114774827,219178400,14840390000,39.018208,30.942238,6.59
2020-03-05,70.91197967529297,72.51700693831131,70.546426702123,71.5413986547228,187572800,14840390000,39.018208,30.942238,6.59
2020-03-06,69.97026062011719,70.40359752261656,68.08198888011519,68.26839282499563,226176800,14840390000,39.018208,30.942238,6.59
2020-03-09,64.43614959716797,67.32181576257562,63.66873234822989,63.850297174318,286744800,14840390000,39.018208,30.942238,6.59
2020-03-10,69.07694244384766,69.34323899980069,65.21082178320125,67.0918381105168,285290000,14840390000,39.018208,30.942238,6.59
2020-03-11,66.6778793334961,68.07956216167183,65.81362880191305,67.15237416724361,255598800,14840390000,39.018208,30.942238,6.59
2020-03-12,60.09312438964844,65.36334796143669,60.037445534949256,61.959612728994784,418474000,14840390000,39.018208,30.942238,6.59
2020-03-13,67.29278564453125,67.76485728131117,61.23578029525555,64.12629743078345,370732000,14840390000,39.018208,30.942238,6.59
2020-03-16,58.63575744628906,62.71975075656297,58.10074479595678,58.572812608634756,322423600,14840390000,39.018208,30.942238,6.59
2020-03-17,61.2139778137207,62.36388471818226,57.71340624039025,59.91881387267281,324056000,14840390000,39.018208,30.942238,6.59
2020-03-18,59.7154541015625,60.52160228730283,57.40352815539844,58.04505935601112,300233600,14840390000,39.018208,30.942238,6.59
2020-03-19,59.25792694091797,61.20914333463061,58.73259973445275,59.88977278720958,271857200,14840390000,39.018208,30.942238,6.59
2020-03-20,55.49589920043945,60.96463122654848,55.195710672226056,59.8389270162078,401693200,14840390000,39.018208,30.942238,6.59
2020-03-23,54.31693649291992,55.31675472983707,51.470001124172114,55.215078862447456,336752800,14840390000,39.018208,30.942238,6.59
2020-03-24,59.76630783081055,59.96239727698541,56.72085964919753,57.21955717748085,287531200,14840390000,39.018208,30.942238,6.59
2020-03-25,59.437076568603516,62.51883657841549,59.14173075275606,60.703187887851634,303602000,14840390000,39.018208,30.942238,6.59
2020-03-26,62.564823150634766,62.62292153490078,59.640418371654654,59.679153090462734,252087200,14840390000,39.018208,30.942238,6.59
2020-03-27,59.974510192871094,61.94267090475654,59.80746991864147,61.1873622149671,204216800,14840390000,39.018208,30.942238,6.59
2020-03-30,61.68605041503906,61.85793342734731,60.376361777058186,60.700760441559225,167976400,14840390000,39.018208,30.942238,6.59
2020-03-31,61.56016159057617,63.545269736802034,61.00578524680458,61.877297942194495,197002000,14840390000,39.018208,30.942238,6.59
2020-04-01,58.321041107177734,60.211735481582174,57.89012756934183,59.67430332649324,176218400,14840390000,39.018208,30.942238,6.59
2020-04-02,59.294227600097656,59.347486910279144,57.35027386031046,58.18305177157115,165934000,14840390000,39.018208,30.942238,6.59
2020-04-03,58.44208908081055,59.4806382957601,57.85139756896397,58.77858908876302,129880000,14840390000,39.018208,30.942238,6.59
2020-04-06,63.540435791015625,63.6953672894155,60.371524799496335,60.73949357260216,201820400,14840390000,39.018208,30.942238,6.59
2020-04-07,62.804500579833984,65.77490674149945,62.70040515518053,65.55702297543276,202887200,14840390000,39.018208,30.942238,6.59
2020-04-08,64.41194152832031,64.72665094840988,63.240244033180964,63.6057895375852,168895200,14840390000,39.018208,30.942238,6.59
2020-04-09,64.87673950195312,65.38028340961694,64.0802804727914,65.04862618518483,161834800,14840390000,39.018208,30.942238,6.59
2020-04-13,66.15010833740234,66.25905017179674,64.35382401129216,64.95420093873426,131022800,14840390000,39.018208,30.942238,6.59
2020-04-14,69.49090576171875,69.78141242863373,67.31212792353071,67.78419941029469,194994800,14840390000,39.018208,30.942238,6.59
2020-04-15,68.85665130615234,69.31661411100032,67.93672569645638,68.365216078865,131154400,14840390000,39.018208,30.942238,6.59
2020-04-16,69.40376281738281,69.7693157098203,68.35310854308584,69.57080305380181,157125200,14840390000,39.018208,30.942238,6.59
2020-04-17,68.46204376220703,69.46670842031787,67.02404968637673,68.91959068992213,215250000,14840390000,39.018208,30.942238,6.59
2020-04-20,67.04097747802734,68.19088774936965,67.02161381886572,67.28791030664927,130015200,14840390000,39.018208,30.942238,6.59
2020-04-21,64.96873474121094,67.11846344497374,64.25700003826536,66.8836393098129,180991600,14840390000,39.018208,30.942238,6.59
