Price,Close,High,Low,Open,Volume,SharesOutstanding,TrailingPE,ForwardPE,EarningsPerShare
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,,,,
Date,,,,,,,,,
2018-01-02,79.19833374023438,79.53005508401151,78.78368557555284,79.36419441212294,22483800,7433166379,37.86637,34.497658,13.62
2018-01-03,79.56690979003906,79.71434461544845,79.2167626248109,79.29968944154412,26061400,7433166379,37.86637,34.497658,13.62
2018-01-04,80.26721954345703,80.77401802119427,79.76963750079143,79.78806334085453,21912000,7433166379,37.86637,34.497658,13.62
2018-01-05,81.26239776611328,81.46511719247553,80.56209621052041,80.77403207355768,23407100,7433166379,37.86637,34.497658,13.62
2018-01-08,81.3453140258789,81.62175084952422,80.71872998501925,81.27159660222942,22113000,7433166379,37.86637,34.497658,13.62
2018-01-09,81.29000854492188,81.75994821209991,80.95828725398192,81.68623080742911,19484300,7433166379,37.86637,34.497658,13.62
2018-01-10,80.92144775390625,81.26238555885257,80.54365826795846,80.95830646498804,18652200,7433166379,37.86637,34.497658,13.62
2018-01-11,81.16101837158203,81.20708648362299,80.3869995704494,81.20708648362299,17808900,7433166379,37.86637,34.497658,13.62
2018-01-12,82.56159973144531,82.72746037207638,81.50193491797337,81.70465425986451,24271500,7433166379,37.86637,34.497658,13.62
2018-01-16,81.4097900390625,83.65812156006267,81.09650162978387,83.02232127877825,36599700,7433166379,37.86637,34.497658,13.62
2018-01-17,83.0591812133789,83.1881831520666,81.7783712292094,82.0824502404354,25621200,7433166379,37.86637,34.497658,13.62
2018-01-18,83.02232360839844,83.54754780286918,82.61689195148954,82.74589389188034,24159700,7433166379,37.86637,34.497658,13.62
2018-01-19,82.93018341064453,83.49226632727853,82.61689498108656,83.05918535576589,36875000,7433166379,37.86637,34.497658,13.62
2018-01-22,84.41373443603516,84.42295087164182,82.69062654177765,82.93020465698706,23601600,7433166379,37.86637,34.497658,13.62
2018-01-23,84.68094635009766,85.04952640657753,84.34922500227376,84.68094635009766,23412800,7433166379,37.86637,34.497658,13.62
2018-01-24,84.60722351074219,86.09075304619397,84.38607830305827,85.27988259796666,33277500,7433166379,37.86637,34.497658,13.62
2018-01-25,85.07715606689453,85.91566871673936,84.70857606506084,85.2061580130245,26383200,7433166379,37.86637,34.497658,13.62
2018-01-26,86.6712646484375,86.6712646484375,85.30752762197002,85.80510962786911,29172200,7433166379,37.86637,34.497658,13.62
2018-01-29,86.54224395751953,87.95205582074419,86.35795749006878,87.6664096871721,31569900,7433166379,37.86637,34.497658,13.62
2018-01-30,85.4549560546875,86.3026922729121,84.86523079075367,85.97097093318936,38635100,7433166379,37.86637,34.497658,13.62
2018-01-31,87.5466079711914,87.90597143721469,86.16443863107821,86.38558375707481,48756300,7433166379,37.86637,34.497658,13.62
2018-02-01,86.85555267333984,88.5233686581289,86.22896874605834,87.34391821385294,47227900,7433166379,37.86637,34.497658,13.62
2018-02-02,84.57038116455078,86.58835178652035,84.31237720066223,86.28427267333136,47867800,7433166379,37.86637,34.497658,13.62
2018-02-05,81.0873031616211,85.91568151782253,81.0873031616211,83.44620427669724,51031500,7433166379,37.86637,34.497658,13.62
2018-02-06,84.15572357177734,84.29394197420946,78.55332629649165,80.06449822823477,67998600,7433166379,37.86637,34.497658,13.62
2018-02-07,82.57083892822266,84.56116013442846,82.19304240871115,83.38170948925756,41107600,7433166379,37.86637,34.497658,13.62
2018-02-08,78.33216094970703,82.81960044809091,78.10179934818579,82.66295624627523,55628700,7433166379,37.86637,34.497658,13.62
2018-02-09,81.25315856933594,81.94424349467161,77.24486740840491,79.52084155398977,63499100,7433166379,37.86637,34.497658,13.62
2018-02-12,82.1285400390625,82.72748178694357,81.02280683534379,81.7691763963499,35720300,7433166379,37.86637,34.497658,13.62
2018-02-13,82.7735366821289,82.93018089215079,80.90300150459629,81.9442334671917,26407700,7433166379,37.86637,34.497658,13.62
2018-02-14,84.06962585449219,84.23626563773915,81.84777149533619,81.94034758311723,34960900,7433166379,37.86637,34.497658,13.62
2018-02-15,85.78231048583984,85.83785472279509,83.8937287352358,84.43993256690193,27823900,7433166379,37.86637,34.497658,13.62
2018-02-16,85.17132568359375,86.559988602348,84.9861734530018,85.58792173397809,30596900,7433166379,37.86637,34.497658,13.62
2018-02-20,85.83785247802734,86.15261256334547,84.2547781982812,84.68989354465805,30911700,7433166379,37.86637,34.497658,13.62
2018-02-21,84.69914245605469,86.43034403791293,84.69914245605469,86.07855212347783,26922500,7433166379,37.86637,34.497658,13.62
2018-02-22,84.92134857177734,85.84712362316742,84.5788092600459,85.21759630569805,24392800,7433166379,37.86637,34.497658,13.62
2018-02-23,87.07841491699219,87.08767464685971,85.50459986852339,86.65255916344303,26329200,7433166379,37.86637,34.497658,13.62
2018-02-26,88.33745574951172,88.36522787159859,87.25430060950404,87.39316828304167,30199800,7433166379,37.86637,34.497658,13.62
2018-02-27,87.20802307128906,88.72629387004443,87.20802307128906,88.63371776048216,25869100,7433166379,37.86637,34.497658,13.62
2018-02-28,86.80992126464844,88.60592707909629,86.68031332578137,87.80050026204842,31167300,7433166379,37.86637,34.497658,13.62
2018-03-01,85.95819091796875,87.55052474390357,85.02315636890678,87.01357365132529,37135600,7433166379,37.86637,34.497658,13.62
2018-03-02,86.14335632324219,86.23593239960408,84.1159070543379,84.78246610510654,32830400,7433166379,37.86637,34.497658,13.62
2018-03-05,86.68955993652344,87.27279557317445,85.4119931339585,85.4860497570319,23901600,7433166379,37.86637,34.497658,13.62
2018-03-06,86.39332580566406,87.47648089923753,86.04153383580599,87.33761323165307,22175800,7433166379,37.86637,34.497658,13.62
2018-03-07,86.89326477050781,86.96732848500554,85.56940589205558,86.24522492641424,26716100,7433166379,37.86637,34.497658,13.62
2018-03-08,87.42093658447266,88.04120416098215,86.80992167285224,87.27280918901208,25887800,7433166379,37.86637,34.497658,13.62
2018-03-09,89.37429809570312,89.37429809570312,87.94860408713947,88.21707962087234,36937300,7433166379,37.86637,34.497658,13.62
2018-03-12,89.58724975585938,89.99459304385022,88.91143791507805,89.33729359656704,26073700,7433166379,37.86637,34.497658,13.62
2018-03-13,87.40242004394531,90.0223578931237,86.99507678886201,89.80017387357947,35387800,7433166379,37.86637,34.497658,13.62
2018-03-14,86.88398742675781,88.32820131426496,86.55996757039833,88.05972570096621,32132000,7433166379,37.86637,34.497658,13.62
2018-03-15,87.18950653076172,87.55981801451541,85.93971145330904,86.58775125254996,27611000,7433166379,37.86637,34.497658,13.62
2018-03-16,87.57833099365234,88.30043450707464,86.94880358600909,87.65239470351723,49081300,7433166379,37.86637,34.497658,13.62
2018-03-19,85.9952392578125,86.93027398627349,85.27313588729713,86.78214659585868,33344100,7433166379,37.86637,34.497658,13.62
2018-03-20,86.2174072265625,86.80990255169304,86.09705904158648,86.14335060824725,23075200,7433166379,37.86637,34.497658,13.62
2018-03-21,85.61569213867188,87.06915889527534,85.36572888361097,86.0322881463012,24457100,7433166379,37.86637,34.497658,13.62
2018-03-22,83.12533569335938,84.9398537933062,83.00498748955715,84.49547869839355,38604700,7433166379,37.86637,34.497658,13.62
