Price,Close,High,Low,Open,Volume,SharesOutstanding,TrailingPE,ForwardPE,EarningsPerShare
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,,,,
Date,,,,,,,,,
2021-01-04,209.2731475830078,214.3778372347253,206.50449638120156,213.92600833251893,37130100,7433166379,37.86637,34.497658,13.62
2021-01-05,209.47503662109375,210.07107471127767,207.36010108090161,208.85978237905934,23823000,7433166379,37.86637,34.497658,13.62
2021-01-06,204.04347229003906,208.1195403388213,203.745460613917,203.96656368510168,35930700,7433166379,37.86637,34.497658,13.62
2021-01-07,209.8499298095703,210.85933506628487,205.44702591896962,205.76425374048165,27694500,7433166379,37.86637,34.497658,13.62
2021-01-08,211.1285400390625,212.05142875790764,208.63868411663802,210.22488214133165,22956200,7433166379,37.86637,34.497658,13.62
2021-01-11,209.08087158203125,210.44596628665806,208.35024718461395,210.02297630264093,23031300,7433166379,37.86637,34.497658,13.62
2021-01-12,206.61985778808594,208.70596899227266,205.072121521782,208.12916175268282,23249300,7433166379,37.86637,34.497658,13.62
2021-01-13,207.975341796875,208.37910099174917,205.6585194623859,205.7450508153582,20087100,7433166379,37.86637,34.497658,13.62
2021-01-14,204.7837371826172,209.05207008476174,204.5145643571503,207.5619967995437,29480800,7433166379,37.86637,34.497658,13.62
2021-01-15,204.42803955078125,206.21612461662198,203.83201608510745,205.26441162063566,31746500,7433166379,37.86637,34.497658,13.62
2021-01-19,208.07150268554688,208.5906175128357,204.40881599037613,205.48550728775663,30480900,7433166379,37.86637,34.497658,13.62
2021-01-20,215.66604614257812,217.05997996557417,208.88862656387894,209.28277771906542,37777300,7433166379,37.86637,34.497658,13.62
2021-01-21,216.27174377441406,217.55032231228398,213.82033423695887,216.01217896792957,30709400,7433166379,37.86637,34.497658,13.62
2021-01-22,217.21377563476562,221.17448827697592,217.06958116245943,218.30008955552947,30172700,7433166379,37.86637,34.497658,13.62
2021-01-25,220.6553955078125,220.89572944747323,215.55070497642953,220.26124432625218,33152100,7433166379,37.86637,34.497658,13.62
2021-01-26,223.34710693359375,225.12556903391163,221.184101782989,222.8952780175176,49169600,7433166379,37.86637,34.497658,13.62
2021-01-27,223.89505004882812,231.14352851501565,221.24176913669046,228.79786735977868,69870600,7433166379,37.86637,34.497658,13.62
2021-01-28,229.69192504882812,233.25848684590053,226.0003995892036,226.5002982458668,49111200,7433166379,37.86637,34.497658,13.62
2021-01-29,222.99142456054688,228.8171162716666,222.40500922536845,226.8656060692636,42503100,7433166379,37.86637,34.497658,13.62
2021-02-01,230.3840789794922,233.1238914058092,223.44323452371898,225.97155193690466,33314200,7433166379,37.86637,34.497658,13.62
2021-02-02,230.24951171875,232.94125465334326,229.46122406057862,231.9703108623903,25916300,7433166379,37.86637,34.497658,13.62
2021-02-03,233.60458374023438,235.6137719070309,230.00918280847807,230.30720920830873,27158100,7433166379,37.86637,34.497658,13.62
2021-02-04,232.65283203125,233.83528542530067,231.07624217466682,233.2777089960579,25296100,7433166379,37.86637,34.497658,13.62
2021-02-05,232.83547973632812,233.8737239461473,231.12430353926055,232.8643186308661,18054800,7433166379,37.86637,34.497658,13.62
2021-02-08,233.09503173828125,234.25823953802782,231.4992112064339,233.74873287056587,22211900,7433166379,37.86637,34.497658,13.62
2021-02-09,234.3448028564453,235.29651579174603,232.04721116764924,232.518256262877,23565000,7433166379,37.86637,34.497658,13.62
2021-02-10,233.43154907226562,236.41168103490142,231.57616348500238,235.52725392328455,22186700,7433166379,37.86637,34.497658,13.62
2021-02-11,235.03695678710938,235.67142716359078,232.78742023275922,235.3157376694766,15751100,7433166379,37.86637,34.497658,13.62
2021-02-12,235.5176239013672,235.8156356029803,233.34499596529108,234.49859580039447,16561100,7433166379,37.86637,34.497658,13.62
2021-02-16,234.27748107910156,236.6135341978641,233.5276404900709,235.5560591780429,26728500,7433166379,37.86637,34.497658,13.62
2021-02-17,235.2988739013672,235.40486497453526,232.15770663695596,232.5238602901919,21653500,7433166379,37.86637,34.497658,13.62
2021-02-18,234.90382385253906,235.0387202505501,232.08062970037736,232.9863689595679,16925600,7433166379,37.86637,34.497658,13.62
2021-02-19,232.18658447265625,234.97124266251927,231.42537193657122,234.8652516018974,25262600,7433166379,37.86637,34.497658,13.62
2021-02-22,225.96205139160156,229.2573898424661,223.92896078770121,228.7659847524381,36446900,7433166379,37.86637,34.497658,13.62
2021-02-23,224.76727294921875,226.27040833152452,220.3927484877867,221.9344340967485,30228700,7433166379,37.86637,34.497658,13.62
2021-02-24,226.00057983398438,226.62688124341818,220.6528761824911,221.62605606398395,26339700,7433166379,37.86637,34.497658,13.62
2021-02-25,220.6432342529297,226.03910333947002,219.57369357947002,223.62059907002538,39542200,7433166379,37.86637,34.497658,13.62
2021-02-26,223.90968322753906,226.79068741105286,221.17319091489034,223.0906601042904,37819200,7433166379,37.86637,34.497658,13.62
2021-03-01,228.30348205566406,228.81416225129144,224.6516202387032,227.30138207369913,25324000,7433166379,37.86637,34.497658,13.62
2021-03-02,225.34539794921875,228.6503815688465,224.94070877790585,228.3709438798375,22812500,7433166379,37.86637,34.497658,13.62
2021-03-03,219.26539611816406,225.0659701891596,218.97632822975632,223.69773120014005,34029500,7433166379,37.86637,34.497658,13.62
2021-03-04,218.46563720703125,224.01569334198643,216.08566807744373,218.47528211448403,44727800,7433166379,37.86637,34.497658,13.62
2021-03-05,223.15811157226562,224.7672377721346,218.2054668095368,221.1539264753207,41872800,7433166379,37.86637,34.497658,13.62
2021-03-08,219.10159301757812,224.8636168253928,218.85107535727434,222.9365171850772,35267400,7433166379,37.86637,34.497658,13.62
2021-03-09,225.25863647460938,226.80032179889255,223.22554612072886,224.39144766882563,33080500,7433166379,37.86637,34.497658,13.62
2021-03-10,223.94822692871094,228.36128646522027,223.58207332574838,228.36128646522027,29746800,7433166379,37.86637,34.497658,13.62
2021-03-11,228.4865264892578,230.45216124830165,225.76930949892613,226.3956255745659,29907600,7433166379,37.86637,34.497658,13.62
2021-03-12,227.15687561035156,227.22433115664796,224.72872588794664,225.48029358968563,22653700,7433166379,37.86637,34.497658,13.62
2021-03-15,226.2510986328125,226.61725221705547,223.3604495848346,226.3956399067722,26034900,7433166379,37.86637,34.497658,13.62
2021-03-16,229.04541015625,231.30974317417687,227.33992303701345,227.66752641282557,28092200,7433166379,37.86637,34.497658,13.62
2021-03-17,228.3998565673828,229.8548262925455,224.72873388533623,227.5422977642344,29562100,7433166379,37.86637,34.497658,13.62
2021-03-18,222.31019592285156,225.6537146778169,221.93441211449593,224.08312390572942,34833000,7433166379,37.86637,34.497658,13.62
2021-03-19,221.95370483398438,223.99642572837095,220.99015502303175,222.59928144301026,46430700,7433166379,37.86637,34.497658,13.62
2021-03-22,227.3881378173828,228.26495702010288,221.75136522898913,221.87663141620806,30127000,7433166379,37.86637,34.497658,13.62
2021-03-23,228.92018127441406,232.26370051990457,228.42877613065596,228.83346531421046,31638400,7433166379,37.86637,34.497658,13.62
2021-03-24,226.87744140625,229.3248514186312,226.7425450229314,229.18032483029094,25620100,7433166379,37.86637,34.497658,13.62
