Price,Close,High,Low,Open,Volume,SharesOutstanding,TrailingPE,ForwardPE,EarningsPerShare
Ticker,ORCL,ORCL,ORCL,ORCL,ORCL,,,,
Date,,,,,,,,,
2020-01-02,49.53742599487305,49.54660655290863,48.87631373013883,48.91304296766693,13899600,2850792605,67.00232,40.3324,4.31
2020-01-03,49.36297607421875,49.6292578581031,48.61922809517494,48.65595734178528,11026700,2850792605,67.00232,40.3324,4.31
2020-01-06,49.62007522583008,49.76698870344308,48.98650800768544,48.995692070301395,10982400,2850792605,67.00232,40.3324,4.31
2020-01-07,49.73025894165039,49.88635648025745,49.22524408652132,49.48234179399934,12015400,2850792605,67.00232,40.3324,4.31
2020-01-08,49.9239387512207,50.35741595882583,49.52735075057411,49.748700065461,11856700,2850792605,67.00232,40.3324,4.31
2020-01-09,50.15450668334961,50.54186969470698,49.83170065560165,50.03460710056988,10671000,2850792605,67.00232,40.3324,4.31
2020-01-10,50.21907043457031,50.40353053117807,50.00694255487069,50.311298723732335,9734800,2850792605,67.00232,40.3324,4.31
2020-01-13,50.33897399902344,50.532655532523734,50.13606752490846,50.228295821351274,10858900,2850792605,67.00232,40.3324,4.31
2020-01-14,50.61566162109375,50.89235002441204,50.26518776713915,50.28363412979823,12627200,2850792605,67.00232,40.3324,4.31
2020-01-15,50.50497817993164,50.892344718820944,50.431196255271125,50.61565634434777,9090800,2850792605,67.00232,40.3324,4.31
2020-01-16,51.122920989990234,51.141367351462115,50.66177250804429,50.70788665258214,9866000,2850792605,67.00232,40.3324,4.31
2020-01-17,50.84622573852539,51.362709716860536,50.58798023107458,51.30737415820076,11166600,2850792605,67.00232,40.3324,4.31
2020-01-21,50.92924880981445,51.05836984550821,50.65255685528859,50.70789594985063,8773000,2850792605,67.00232,40.3324,4.31
2020-01-22,50.46809768676758,51.32583425846519,50.357419503250085,51.10448140971438,6380500,2850792605,67.00232,40.3324,4.31
2020-01-23,50.7078857421875,50.726332103328204,50.062277175397504,50.18217676367025,6583200,2850792605,67.00232,40.3324,4.31
2020-01-24,49.86860275268555,50.91079943650286,49.693367574354056,50.78167840843922,6426000,2850792605,67.00232,40.3324,4.31
2020-01-27,48.59583282470703,49.361341104786746,48.54049725053159,49.04775995075041,8259100,2850792605,67.00232,40.3324,4.31
2020-01-28,49.305999755859375,49.50890623397467,48.568162814918395,48.75262292972465,8620300,2850792605,67.00232,40.3324,4.31
2020-01-29,49.066200256347656,49.74869805432286,49.04775389447214,49.601130677602505,6332500,2850792605,67.00232,40.3324,4.31
2020-01-30,49.16765594482422,49.18610230762165,48.21768761131836,48.715728851997085,7176200,2850792605,67.00232,40.3324,4.31
2020-01-31,48.374488830566406,49.33367876269514,48.22692141933772,49.19533277541874,8884700,2850792605,67.00232,40.3324,4.31
2020-02-03,48.964759826660156,49.259894657261746,48.59583952926582,48.632732262662195,8892500,2850792605,67.00232,40.3324,4.31
2020-02-04,49.840919494628906,50.320514248764496,49.5734525805043,49.5734525805043,9769800,2850792605,67.00232,40.3324,4.31
2020-02-05,50.486541748046875,50.75400521697164,50.33897436170479,50.421977718130954,9612900,2850792605,67.00232,40.3324,4.31
2020-02-06,50.458866119384766,51.04913561416024,50.458866119384766,50.726333083668564,8832000,2850792605,67.00232,40.3324,4.31
2020-02-07,50.46809768676758,50.69867195833609,49.97927783860909,50.05306329428742,7864800,2850792605,67.00232,40.3324,4.31
2020-02-10,50.717105865478516,50.79088778475088,50.219064716827674,50.468085291153095,7198200,2850792605,67.00232,40.3324,4.31
2020-02-11,50.864688873291016,51.22438419634432,50.82779614316134,50.88313172007146,8466600,2850792605,67.00232,40.3324,4.31
2020-02-12,51.39960861206055,51.54717598336008,50.956906498161956,51.23359487956312,7541100,2850792605,67.00232,40.3324,4.31
2020-02-13,51.01224899291992,51.31660517732825,50.73555707473285,51.01224899291992,8480100,2850792605,67.00232,40.3324,4.31
2020-02-14,51.15980911254883,51.50105797338366,50.94768125212267,51.07680225253134,7496800,2850792605,67.00232,40.3324,4.31
2020-02-18,51.14137268066406,51.4272825175623,50.81856659869357,51.11370137643089,7185700,2850792605,67.00232,40.3324,4.31
2020-02-19,51.132144927978516,51.43650462981764,51.086030781171225,51.27049088668428,6819200,2850792605,67.00232,40.3324,4.31
2020-02-20,51.196712493896484,51.52874002592843,50.61566783112494,51.0952627642506,6114600,2850792605,67.00232,40.3324,4.31
2020-02-21,50.43119430541992,51.0399101130392,50.20984150342953,50.80011446930942,9078600,2850792605,67.00232,40.3324,4.31
2020-02-24,48.558937072753906,49.370555876447874,48.429812541077204,48.97396789629307,10992500,2850792605,67.00232,40.3324,4.31
2020-02-25,47.000267028808594,49.08466078463334,46.85269960949855,48.94631478978058,12202600,2850792605,67.00232,40.3324,4.31
2020-02-26,48.005558013916016,49.010861881874156,47.258499697678495,47.323060206037695,16413100,2850792605,67.00232,40.3324,4.31
2020-02-27,46.834232330322266,49.305988138814136,46.815785971359404,46.926464125136576,16161100,2850792605,67.00232,40.3324,4.31
2020-02-28,45.61680603027344,46.01339399786845,44.17802504856469,45.41390309491768,24426000,2850792605,67.00232,40.3324,4.31
2020-03-02,46.944915771484375,46.944915771484375,44.88819049401755,45.86582651946058,17328500,2850792605,67.00232,40.3324,4.31
2020-03-03,45.054203033447266,47.811872366095386,44.500826290004156,46.68666900037305,21830500,2850792605,67.00232,40.3324,4.31
2020-03-04,46.61288833618164,46.65900247966757,45.03576140829098,45.97650119391151,14813700,2850792605,67.00232,40.3324,4.31
2020-03-05,44.2702522277832,45.819711337218294,44.03967799743016,45.40467701892612,15843000,2850792605,67.00232,40.3324,4.31
2020-03-06,43.689212799072266,44.5469493866211,42.8499225757839,42.951375820074404,24581400,2850792605,67.00232,40.3324,4.31
2020-03-09,42.434879302978516,43.8736637499039,41.18977988114866,41.45724682957488,25949300,2850792605,67.00232,40.3324,4.31
2020-03-10,44.8051872253418,45.10954338733424,42.573226791501476,43.7629906935711,27067700,2850792605,67.00232,40.3324,4.31
2020-03-11,41.24512481689453,43.790663103091084,40.8300904446114,43.17272577413486,24139200,2850792605,67.00232,40.3324,4.31
2020-03-12,36.70741653442383,40.02768754130072,36.62440967129482,37.9248481814603,24123800,2850792605,67.00232,40.3324,4.31
2020-03-13,44.205692291259766,44.26103137383576,40.04613115214583,40.99609938580736,28339400,2850792605,67.00232,40.3324,4.31
2020-03-16,39.40053176879883,43.87367112970376,38.05397537910928,39.20684671112438,27493700,2850792605,67.00232,40.3324,4.31
2020-03-17,43.218841552734375,44.00279266017398,38.42289605293998,40.23059747786518,25588900,2850792605,67.00232,40.3324,4.31
2020-03-18,43.596981048583984,44.085797348838184,39.25296287984972,40.27670962822068,29557000,2850792605,67.00232,40.3324,4.31
2020-03-19,41.56792449951172,44.242587141900124,41.38346440033256,42.85914167548207,20159100,2850792605,67.00232,40.3324,4.31
2020-03-20,42.10286331176758,43.071274546767405,41.051441680153076,41.521815163454015,26340800,2850792605,67.00232,40.3324,4.31
2020-03-23,40.75630187988281,42.8775877277044,40.47961349225331,41.50336369293784,23063700,2850792605,67.00232,40.3324,4.31
2020-03-24,44.122684478759766,44.27947326526513,41.78004947428409,41.80772077411949,19323700,2850792605,67.00232,40.3324,4.31
2020-03-25,42.37031936645508,44.95275356489785,41.946063626359084,43.440183656161764,25625800,2850792605,67.00232,40.3324,4.31
2020-03-26,46.55754470825195,46.79734386022427,42.600890365258316,42.77612901899577,22417900,2850792605,67.00232,40.3324,4.31
2020-03-27,45.958065032958984,47.59052776306206,44.7867473230444,45.275563647974465,20025300,2850792605,67.00232,40.3324,4.31
2020-03-30,46.44687271118164,47.581297482441855,45.73670367194717,46.48376543177957,20611900,2850792605,67.00232,40.3324,4.31
2020-03-31,44.574623107910156,47.203168587509914,44.270263358543644,47.14782949172934,15802000,2850792605,67.00232,40.3324,4.31
2020-04-01,44.92509078979492,45.183336369614175,42.462559227426425,42.932929199262986,17918200,2850792605,67.00232,40.3324,4.31
2020-04-02,45.93039321899414,46.01340009573029,44.36248750191349,44.43627295602745,16434400,2850792605,67.00232,40.3324,4.31
2020-04-03,45.56147766113281,46.16096865876518,45.14644326690475,45.46924584114647,13362500,2850792605,67.00232,40.3324,4.31
2020-04-06,47.489078521728516,47.84877382246078,46.437656887985675,46.48377455692811,13845800,2850792605,67.00232,40.3324,4.31
