Price,Close,High,Low,Open,Volume,SharesOutstanding,TrailingPE,ForwardPE,EarningsPerShare
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,,,
Date,,,,,,,,,
2015-10-02,16.504667282104492,16.51333236694336,15.661999702453613,15.706666946411133,66360000,3325150886,256.47058,134.5679,1.7
2015-10-05,16.40999984741211,16.6560001373291,16.275333404541016,16.589332580566406,55348500,3325150886,256.47058,134.5679,1.7
2015-10-06,16.097333908081055,16.20199966430664,15.70533275604248,16.0,78378000,3325150886,256.47058,134.5679,1.7
2015-10-07,15.46399974822998,15.846667289733887,15.274666786193848,15.775333404541016,102210000,3325150886,256.47058,134.5679,1.7
2015-10-08,15.114666938781738,15.381333351135254,14.753999710083008,15.338666915893555,91998000,3325150886,256.47058,134.5679,1.7
2015-10-09,14.712667465209961,14.958000183105469,14.557332992553711,14.728667259216309,92376000,3325150886,256.47058,134.5679,1.7
2015-10-12,14.371999740600586,14.866666793823242,14.351332664489746,14.866000175476074,57544500,3325150886,256.47058,134.5679,1.7
2015-10-13,14.616666793823242,14.834667205810547,14.075332641601562,14.218667030334473,77572500,3325150886,256.47058,134.5679,1.7
2015-10-14,14.458666801452637,14.729999542236328,14.362000465393066,14.711333274841309,46566000,3325150886,256.47058,134.5679,1.7
2015-10-15,14.753999710083008,14.781999588012695,14.24666690826416,14.428667068481445,42663000,3325150886,256.47058,134.5679,1.7
2015-10-16,15.133999824523926,15.36533260345459,14.857999801635742,14.869333267211914,65017500,3325150886,256.47058,134.5679,1.7
2015-10-19,15.206666946411133,15.40999984741211,14.996000289916992,15.100000381469727,37618500,3325150886,256.47058,134.5679,1.7
2015-10-20,14.20199966430664,15.239999771118164,13.466667175292969,15.1813325881958,223500000,3325150886,256.47058,134.5679,1.7
2015-10-21,14.005999565124512,14.320667266845703,13.920000076293945,14.13266658782959,62272500,3325150886,256.47058,134.5679,1.7
2015-10-22,14.114666938781738,14.383333206176758,13.960000038146973,14.104000091552734,42378000,3325150886,256.47058,134.5679,1.7
2015-10-23,13.939332962036133,14.356666564941406,13.845999717712402,14.333333015441895,63532500,3325150886,256.47058,134.5679,1.7
2015-10-26,14.350666999816895,14.392000198364258,14.0,14.092000007629395,50871000,3325150886,256.47058,134.5679,1.7
2015-10-27,14.023332595825195,14.473333358764648,13.833999633789062,14.322667121887207,52791000,3325150886,256.47058,134.5679,1.7
2015-10-28,14.197333335876465,14.229999542236328,13.886667251586914,14.087332725524902,40929000,3325150886,256.47058,134.5679,1.7
2015-10-29,14.108667373657227,14.25,14.042667388916016,14.116666793823242,27075000,3325150886,256.47058,134.5679,1.7
2015-10-30,13.795332908630371,14.108667373657227,13.592666625976562,14.026666641235352,66583500,3325150886,256.47058,134.5679,1.7
2015-11-02,14.252667427062988,14.386667251586914,13.814666748046875,13.928000450134277,58918500,3325150886,256.47058,134.5679,1.7
2015-11-03,13.890000343322754,14.295999526977539,13.850000381469727,14.256667137145996,124987500,3325150886,256.47058,134.5679,1.7
2015-11-04,15.442000389099121,15.515999794006348,15.013333320617676,15.133333206176758,190896000,3325150886,256.47058,134.5679,1.7
2015-11-05,15.451333045959473,15.638667106628418,15.279333114624023,15.371999740600586,67452000,3325150886,256.47058,134.5679,1.7
2015-11-06,15.490667343139648,15.557332992553711,15.300000190734863,15.380000114440918,36679500,3325150886,256.47058,134.5679,1.7
2015-11-09,15.022000312805176,15.53266716003418,14.954000473022461,15.53266716003418,57763500,3325150886,256.47058,134.5679,1.7
2015-11-10,14.433333396911621,14.91333293914795,14.405332565307617,14.898667335510254,69255000,3325150886,256.47058,134.5679,1.7
2015-11-11,14.60533332824707,14.631999969482422,14.241999626159668,14.517999649047852,50217000,3325150886,256.47058,134.5679,1.7
2015-11-12,14.196000099182129,14.600000381469727,14.177332878112793,14.523332595825195,43738500,3325150886,256.47058,134.5679,1.7
2015-11-13,13.812666893005371,14.199333190917969,13.767999649047852,14.196666717529297,51454500,3325150886,256.47058,134.5679,1.7
2015-11-16,14.287332534790039,14.331999778747559,13.720000267028809,13.739333152770996,43881000,3325150886,256.47058,134.5679,1.7
2015-11-17,14.266667366027832,14.399999618530273,14.09333324432373,14.346667289733887,32230500,3325150886,256.47058,134.5679,1.7
2015-11-18,14.73799991607666,14.7586669921875,14.168000221252441,14.300000190734863,42178500,3325150886,256.47058,134.5679,1.7
2015-11-19,14.786666870117188,15.079333305358887,14.686667442321777,14.702667236328125,37566000,3325150886,256.47058,134.5679,1.7
2015-11-20,14.667332649230957,15.0,14.238666534423828,14.899333000183105,66010500,3325150886,256.47058,134.5679,1.7
2015-11-23,14.516667366027832,14.612000465393066,14.312000274658203,14.489999771118164,37893000,3325150886,256.47058,134.5679,1.7
2015-11-24,14.550000190734863,14.733332633972168,14.333333015441895,14.357999801635742,37204500,3325150886,256.47058,134.5679,1.7
2015-11-25,15.309332847595215,15.388667106628418,14.692000389099121,14.755999565124512,59862000,3325150886,256.47058,134.5679,1.7
2015-11-27,15.440667152404785,15.483332633972168,15.133999824523926,15.404000282287598,29241000,3325150886,256.47058,134.5679,1.7
2015-11-30,15.350666999816895,15.618666648864746,15.272000312805176,15.452667236328125,39897000,3325150886,256.47058,134.5679,1.7
2015-12-01,15.812666893005371,15.866666793823242,15.403332710266113,15.404000282287598,56010000,3325150886,256.47058,134.5679,1.7
2015-12-02,15.465999603271484,15.90666675567627,15.415332794189453,15.800000190734863,44722500,3325150886,256.47058,134.5679,1.7
2015-12-03,15.513999938964844,15.829999923706055,15.333333015441895,15.6986665725708,44094000,3325150886,256.47058,134.5679,1.7
2015-12-04,15.358667373657227,15.5513334274292,15.177332878112793,15.497332572937012,38604000,3325150886,256.47058,134.5679,1.7
2015-12-07,15.408666610717773,15.708666801452637,15.076666831970215,15.180000305175781,47163000,3325150886,256.47058,134.5679,1.7
2015-12-08,15.114666938781738,15.25333309173584,14.946666717529297,15.168000221252441,40314000,3325150886,256.47058,134.5679,1.7
2015-12-09,14.968000411987305,15.166666984558105,14.714667320251465,15.113332748413086,45867000,3325150886,256.47058,134.5679,1.7
2015-12-10,15.137999534606934,15.232666969299316,14.909333229064941,14.980667114257812,31075500,3325150886,256.47058,134.5679,1.7
2015-12-11,14.468000411987305,15.050000190734863,14.442667007446289,15.015999794006348,49030500,3325150886,256.47058,134.5679,1.7
2015-12-14,14.571999549865723,14.727999687194824,14.324666976928711,14.500666618347168,42406500,3325150886,256.47058,134.5679,1.7
2015-12-15,14.739333152770996,14.814666748046875,14.533332824707031,14.788000106811523,33666000,3325150886,256.47058,134.5679,1.7
2015-12-16,15.633999824523926,15.658666610717773,14.715332984924316,14.80666732788086,76564500,3325150886,256.47058,134.5679,1.7
2015-12-17,15.559332847595215,15.850666999816895,15.320667266845703,15.595999717712402,49479000,3325150886,256.47058,134.5679,1.7
2015-12-18,15.36400032043457,15.726667404174805,15.28600025177002,15.526000022888184,45213000,3325150886,256.47058,134.5679,1.7
2015-12-21,15.503999710083008,15.722000122070312,15.405332565307617,15.446000099182129,29298000,3325150886,256.47058,134.5679,1.7
2015-12-22,15.329999923706055,15.770000457763672,15.308667182922363,15.666000366210938,29422500,3325150886,256.47058,134.5679,1.7
2015-12-23,15.313332557678223,15.563332557678223,15.208666801452637,15.478667259216309,23325000,3325150886,256.47058,134.5679,1.7
2015-12-24,15.371333122253418,15.458666801452637,15.218667030334473,15.370667457580566,10620000,3325150886,256.47058,134.5679,1.7
2015-12-28,15.263333320617676,15.465332984924316,15.03600025177002,15.432666778564453,28519500,3325150886,256.47058,134.5679,1.7
2015-12-29,15.812666893005371,15.847999572753906,15.303333282470703,15.337332725524902,36094500,3325150886,256.47058,134.5679,1.7
2015-12-30,15.87266731262207,16.242000579833984,15.711333274841309,15.773332595825195,55468500,3325150886,256.47058,134.5679,1.7
2015-12-31,16.000667572021484,16.229999542236328,15.891332626342773,15.900667190551758,40725000,3325150886,256.47058,134.5679,1.7
