Date,Close_TSLA,High_TSLA,Low_TSLA,Open_TSLA,Volume_TSLA,address1,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,tradeable,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,quoteType,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,symbol,language,region,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,shortName,longName,regularMarketChangePercent,regularMarketPrice,marketState,postMarketTime,regularMarketTime,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,exchangeDataDelayedBy,averageAnalystRating,cryptoTradeable,exchange,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,hasPrePostMarketData,firstTradeDateMilliseconds,postMarketChangePercent,postMarketPrice,postMarketChange,regularMarketChange,regularMarketDayRange,fullExchangeName,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,displayName,trailingPegRatio
2025-01-02,379.2799987792969,392.7300109863281,373.0400085449219,390.1000061035156,109710700,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,125665,4,9,10,9,10,1759276800,1735603200,86400,2,459.46,470.54,435.57,470.75,459.46,470.54,435.57,470.75,0.0,2.086,256.47058,134.5679,135146121,135146121,89618395,95338450,95338450,435.76,437.52,2,2,1449765765120,212.11,488.54,488.54,0.998667,15.635956,361.174,335.2214,0.0,0.0,USD,False,1383405715456,0.063439995,2724568931,3325150886,86213226,76710309,1755216000,1757894400,0.025899999,0.12560001,0.49394,1.03,0.0296,3325150886,23.981,18.181059,1735603200,1767139200,1751241600,-0.163,5879000064,1.7,3.24,3:1,1661385600,14.92,120.927,0.74344206,0.16766965,EQUITY,436.0,600.0,115.0,345.4979,352.0,2.55556,hold,38,36781998080,11.404,11440000000,13134000128,1.359,2.037,92719996928,16.823,28.862,0.0296,0.08177,16206999552,1398375040,15765000192,-0.175,-0.118,0.1748,0.123380005,0.04103,USD,TSLA,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,"Tesla, Inc.","Tesla, Inc.",-5.10599,436.0,POSTPOST,1759449599,1759435200,1761163200,1761163200,1761163200,1761168600,1761168600,False,1.7,3.24,1.70742,255.35603,74.82599,0.20717435,100.778595,0.30063292,15,0,2.6 - Hold,False,NMS,finmb_27444752,America/New_York,EDT,-14400000,us_market,False,True,1277818200000,0.76835,439.35,3.35001,-23.46,435.57 - 470.75,NasdaqGS,89618395,223.89,1.0555372,212.11 - 488.54,-52.54001,-0.10754494,74.34421,Tesla,8.1322
2025-01-03,410.44000244140625,411.8800048828125,379.45001220703125,381.4800109863281,95423300,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,125665,4,9,10,9,10,1759276800,1735603200,86400,2,459.46,470.54,435.57,470.75,459.46,470.54,435.57,470.75,0.0,2.086,256.47058,134.5679,135146121,135146121,89618395,95338450,95338450,435.76,437.52,2,2,1449765765120,212.11,488.54,488.54,0.998667,15.635956,361.174,335.2214,0.0,0.0,USD,False,1383405715456,0.063439995,2724568931,3325150886,86213226,76710309,1755216000,1757894400,0.025899999,0.12560001,0.49394,1.03,0.0296,3325150886,23.981,18.181059,1735603200,1767139200,1751241600,-0.163,5879000064,1.7,3.24,3:1,1661385600,14.92,120.927,0.74344206,0.16766965,EQUITY,436.0,600.0,115.0,345.4979,352.0,2.55556,hold,38,36781998080,11.404,11440000000,13134000128,1.359,2.037,92719996928,16.823,28.862,0.0296,0.08177,16206999552,1398375040,15765000192,-0.175,-0.118,0.1748,0.123380005,0.04103,USD,TSLA,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,"Tesla, Inc.","Tesla, Inc.",-5.10599,436.0,POSTPOST,1759449599,1759435200,1761163200,1761163200,1761163200,1761168600,1761168600,False,1.7,3.24,1.70742,255.35603,74.82599,0.20717435,100.778595,0.30063292,15,0,2.6 - Hold,False,NMS,finmb_27444752,America/New_York,EDT,-14400000,us_market,False,True,1277818200000,0.76835,439.35,3.35001,-23.46,435.57 - 470.75,NasdaqGS,89618395,223.89,1.0555372,212.11 - 488.54,-52.54001,-0.10754494,74.34421,Tesla,8.1322
2025-01-06,411.04998779296875,426.42999267578125,401.70001220703125,423.20001220703125,85516500,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,125665,4,9,10,9,10,1759276800,1735603200,86400,2,459.46,470.54,435.57,470.75,459.46,470.54,435.57,470.75,0.0,2.086,256.47058,134.5679,135146121,135146121,89618395,95338450,95338450,435.76,437.52,2,2,1449765765120,212.11,488.54,488.54,0.998667,15.635956,361.174,335.2214,0.0,0.0,USD,False,1383405715456,0.063439995,2724568931,3325150886,86213226,76710309,1755216000,1757894400,0.025899999,0.12560001,0.49394,1.03,0.0296,3325150886,23.981,18.181059,1735603200,1767139200,1751241600,-0.163,5879000064,1.7,3.24,3:1,1661385600,14.92,120.927,0.74344206,0.16766965,EQUITY,436.0,600.0,115.0,345.4979,352.0,2.55556,hold,38,36781998080,11.404,11440000000,13134000128,1.359,2.037,92719996928,16.823,28.862,0.0296,0.08177,16206999552,1398375040,15765000192,-0.175,-0.118,0.1748,0.123380005,0.04103,USD,TSLA,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,"Tesla, Inc.","Tesla, Inc.",-5.10599,436.0,POSTPOST,1759449599,1759435200,1761163200,1761163200,1761163200,1761168600,1761168600,False,1.7,3.24,1.70742,255.35603,74.82599,0.20717435,100.778595,0.30063292,15,0,2.6 - Hold,False,NMS,finmb_27444752,America/New_York,EDT,-14400000,us_market,False,True,1277818200000,0.76835,439.35,3.35001,-23.46,435.57 - 470.75,NasdaqGS,89618395,223.89,1.0555372,212.11 - 488.54,-52.54001,-0.10754494,74.34421,Tesla,8.1322
2025-01-07,394.3599853515625,414.3299865722656,390.0,405.8299865722656,75699500,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,125665,4,9,10,9,10,1759276800,1735603200,86400,2,459.46,470.54,435.57,470.75,459.46,470.54,435.57,470.75,0.0,2.086,256.47058,134.5679,135146121,135146121,89618395,95338450,95338450,435.76,437.52,2,2,1449765765120,212.11,488.54,488.54,0.998667,15.635956,361.174,335.2214,0.0,0.0,USD,False,1383405715456,0.063439995,2724568931,3325150886,86213226,76710309,1755216000,1757894400,0.025899999,0.12560001,0.49394,1.03,0.0296,3325150886,23.981,18.181059,1735603200,1767139200,1751241600,-0.163,5879000064,1.7,3.24,3:1,1661385600,14.92,120.927,0.74344206,0.16766965,EQUITY,436.0,600.0,115.0,345.4979,352.0,2.55556,hold,38,36781998080,11.404,11440000000,13134000128,1.359,2.037,92719996928,16.823,28.862,0.0296,0.08177,16206999552,1398375040,15765000192,-0.175,-0.118,0.1748,0.123380005,0.04103,USD,TSLA,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,"Tesla, Inc.","Tesla, Inc.",-5.10599,436.0,POSTPOST,1759449599,1759435200,1761163200,1761163200,1761163200,1761168600,1761168600,False,1.7,3.24,1.70742,255.35603,74.82599,0.20717435,100.778595,0.30063292,15,0,2.6 - Hold,False,NMS,finmb_27444752,America/New_York,EDT,-14400000,us_market,False,True,1277818200000,0.76835,439.35,3.35001,-23.46,435.57 - 470.75,NasdaqGS,89618395,223.89,1.0555372,212.11 - 488.54,-52.54001,-0.10754494,74.34421,Tesla,8.1322
2025-01-08,394.94000244140625,402.5,387.3999938964844,392.95001220703125,73038800,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,125665,4,9,10,9,10,1759276800,1735603200,86400,2,459.46,470.54,435.57,470.75,459.46,470.54,435.57,470.75,0.0,2.086,256.47058,134.5679,135146121,135146121,89618395,95338450,95338450,435.76,437.52,2,2,1449765765120,212.11,488.54,488.54,0.998667,15.635956,361.174,335.2214,0.0,0.0,USD,False,1383405715456,0.063439995,2724568931,3325150886,86213226,76710309,1755216000,1757894400,0.025899999,0.12560001,0.49394,1.03,0.0296,3325150886,23.981,18.181059,1735603200,1767139200,1751241600,-0.163,5879000064,1.7,3.24,3:1,1661385600,14.92,120.927,0.74344206,0.16766965,EQUITY,436.0,600.0,115.0,345.4979,352.0,2.55556,hold,38,36781998080,11.404,11440000000,13134000128,1.359,2.037,92719996928,16.823,28.862,0.0296,0.08177,16206999552,1398375040,15765000192,-0.175,-0.118,0.1748,0.123380005,0.04103,USD,TSLA,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,"Tesla, Inc.","Tesla, Inc.",-5.10599,436.0,POSTPOST,1759449599,1759435200,1761163200,1761163200,1761163200,1761168600,1761168600,False,1.7,3.24,1.70742,255.35603,74.82599,0.20717435,100.778595,0.30063292,15,0,2.6 - Hold,False,NMS,finmb_27444752,America/New_York,EDT,-14400000,us_market,False,True,1277818200000,0.76835,439.35,3.35001,-23.46,435.57 - 470.75,NasdaqGS,89618395,223.89,1.0555372,212.11 - 488.54,-52.54001,-0.10754494,74.34421,Tesla,8.1322
2025-01-10,394.739990234375,399.2799987792969,377.2900085449219,391.3999938964844,62287300,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,125665,4,9,10,9,10,1759276800,1735603200,86400,2,459.46,470.54,435.57,470.75,459.46,470.54,435.57,470.75,0.0,2.086,256.47058,134.5679,135146121,135146121,89618395,95338450,95338450,435.76,437.52,2,2,1449765765120,212.11,488.54,488.54,0.998667,15.635956,361.174,335.2214,0.0,0.0,USD,False,1383405715456,0.063439995,2724568931,3325150886,86213226,76710309,1755216000,1757894400,0.025899999,0.12560001,0.49394,1.03,0.0296,3325150886,23.981,18.181059,1735603200,1767139200,1751241600,-0.163,5879000064,1.7,3.24,3:1,1661385600,14.92,120.927,0.74344206,0.16766965,EQUITY,436.0,600.0,115.0,345.4979,352.0,2.55556,hold,38,36781998080,11.404,11440000000,13134000128,1.359,2.037,92719996928,16.823,28.862,0.0296,0.08177,16206999552,1398375040,15765000192,-0.175,-0.118,0.1748,0.123380005,0.04103,USD,TSLA,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,"Tesla, Inc.","Tesla, Inc.",-5.10599,436.0,POSTPOST,1759449599,1759435200,1761163200,1761163200,1761163200,1761168600,1761168600,False,1.7,3.24,1.70742,255.35603,74.82599,0.20717435,100.778595,0.30063292,15,0,2.6 - Hold,False,NMS,finmb_27444752,America/New_York,EDT,-14400000,us_market,False,True,1277818200000,0.76835,439.35,3.35001,-23.46,435.57 - 470.75,NasdaqGS,89618395,223.89,1.0555372,212.11 - 488.54,-52.54001,-0.10754494,74.34421,Tesla,8.1322
2025-01-13,403.30999755859375,403.7900085449219,380.07000732421875,383.2099914550781,67580500,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,125665,4,9,10,9,10,1759276800,1735603200,86400,2,459.46,470.54,435.57,470.75,459.46,470.54,435.57,470.75,0.0,2.086,256.47058,134.5679,135146121,135146121,89618395,95338450,95338450,435.76,437.52,2,2,1449765765120,212.11,488.54,488.54,0.998667,15.635956,361.174,335.2214,0.0,0.0,USD,False,1383405715456,0.063439995,2724568931,3325150886,86213226,76710309,1755216000,1757894400,0.025899999,0.12560001,0.49394,1.03,0.0296,3325150886,23.981,18.181059,1735603200,1767139200,1751241600,-0.163,5879000064,1.7,3.24,3:1,1661385600,14.92,120.927,0.74344206,0.16766965,EQUITY,436.0,600.0,115.0,345.4979,352.0,2.55556,hold,38,36781998080,11.404,11440000000,13134000128,1.359,2.037,92719996928,16.823,28.862,0.0296,0.08177,16206999552,1398375040,15765000192,-0.175,-0.118,0.1748,0.123380005,0.04103,USD,TSLA,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,"Tesla, Inc.","Tesla, Inc.",-5.10599,436.0,POSTPOST,1759449599,1759435200,1761163200,1761163200,1761163200,1761168600,1761168600,False,1.7,3.24,1.70742,255.35603,74.82599,0.20717435,100.778595,0.30063292,15,0,2.6 - Hold,False,NMS,finmb_27444752,America/New_York,EDT,-14400000,us_market,False,True,1277818200000,0.76835,439.35,3.35001,-23.46,435.57 - 470.75,NasdaqGS,89618395,223.89,1.0555372,212.11 - 488.54,-52.54001,-0.10754494,74.34421,Tesla,8.1322
2025-01-14,396.3599853515625,422.6400146484375,394.5400085449219,414.3399963378906,84565000,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,125665,4,9,10,9,10,1759276800,1735603200,86400,2,459.46,470.54,435.57,470.75,459.46,470.54,435.57,470.75,0.0,2.086,256.47058,134.5679,135146121,135146121,89618395,95338450,95338450,435.76,437.52,2,2,1449765765120,212.11,488.54,488.54,0.998667,15.635956,361.174,335.2214,0.0,0.0,USD,False,1383405715456,0.063439995,2724568931,3325150886,86213226,76710309,1755216000,1757894400,0.025899999,0.12560001,0.49394,1.03,0.0296,3325150886,23.981,18.181059,1735603200,1767139200,1751241600,-0.163,5879000064,1.7,3.24,3:1,1661385600,14.92,120.927,0.74344206,0.16766965,EQUITY,436.0,600.0,115.0,345.4979,352.0,2.55556,hold,38,36781998080,11.404,11440000000,13134000128,1.359,2.037,92719996928,16.823,28.862,0.0296,0.08177,16206999552,1398375040,15765000192,-0.175,-0.118,0.1748,0.123380005,0.04103,USD,TSLA,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,"Tesla, Inc.","Tesla, Inc.",-5.10599,436.0,POSTPOST,1759449599,1759435200,1761163200,1761163200,1761163200,1761168600,1761168600,False,1.7,3.24,1.70742,255.35603,74.82599,0.20717435,100.778595,0.30063292,15,0,2.6 - Hold,False,NMS,finmb_27444752,America/New_York,EDT,-14400000,us_market,False,True,1277818200000,0.76835,439.35,3.35001,-23.46,435.57 - 470.75,NasdaqGS,89618395,223.89,1.0555372,212.11 - 488.54,-52.54001,-0.10754494,74.34421,Tesla,8.1322
2025-01-15,428.2200012207031,429.79998779296875,405.6600036621094,409.8999938964844,81375500,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,125665,4,9,10,9,10,1759276800,1735603200,86400,2,459.46,470.54,435.57,470.75,459.46,470.54,435.57,470.75,0.0,2.086,256.47058,134.5679,135146121,135146121,89618395,95338450,95338450,435.76,437.52,2,2,1449765765120,212.11,488.54,488.54,0.998667,15.635956,361.174,335.2214,0.0,0.0,USD,False,1383405715456,0.063439995,2724568931,3325150886,86213226,76710309,1755216000,1757894400,0.025899999,0.12560001,0.49394,1.03,0.0296,3325150886,23.981,18.181059,1735603200,1767139200,1751241600,-0.163,5879000064,1.7,3.24,3:1,1661385600,14.92,120.927,0.74344206,0.16766965,EQUITY,436.0,600.0,115.0,345.4979,352.0,2.55556,hold,38,36781998080,11.404,11440000000,13134000128,1.359,2.037,92719996928,16.823,28.862,0.0296,0.08177,16206999552,1398375040,15765000192,-0.175,-0.118,0.1748,0.123380005,0.04103,USD,TSLA,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,"Tesla, Inc.","Tesla, Inc.",-5.10599,436.0,POSTPOST,1759449599,1759435200,1761163200,1761163200,1761163200,1761168600,1761168600,False,1.7,3.24,1.70742,255.35603,74.82599,0.20717435,100.778595,0.30063292,15,0,2.6 - Hold,False,NMS,finmb_27444752,America/New_York,EDT,-14400000,us_market,False,True,1277818200000,0.76835,439.35,3.35001,-23.46,435.57 - 470.75,NasdaqGS,89618395,223.89,1.0555372,212.11 - 488.54,-52.54001,-0.10754494,74.34421,Tesla,8.1322
2025-01-16,413.82000732421875,424.0,409.1300048828125,423.489990234375,68335200,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,125665,4,9,10,9,10,1759276800,1735603200,86400,2,459.46,470.54,435.57,470.75,459.46,470.54,435.57,470.75,0.0,2.086,256.47058,134.5679,135146121,135146121,89618395,95338450,95338450,435.76,437.52,2,2,1449765765120,212.11,488.54,488.54,0.998667,15.635956,361.174,335.2214,0.0,0.0,USD,False,1383405715456,0.063439995,2724568931,3325150886,86213226,76710309,1755216000,1757894400,0.025899999,0.12560001,0.49394,1.03,0.0296,3325150886,23.981,18.181059,1735603200,1767139200,1751241600,-0.163,5879000064,1.7,3.24,3:1,1661385600,14.92,120.927,0.74344206,0.16766965,EQUITY,436.0,600.0,115.0,345.4979,352.0,2.55556,hold,38,36781998080,11.404,11440000000,13134000128,1.359,2.037,92719996928,16.823,28.862,0.0296,0.08177,16206999552,1398375040,15765000192,-0.175,-0.118,0.1748,0.123380005,0.04103,USD,TSLA,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,"Tesla, Inc.","Tesla, Inc.",-5.10599,436.0,POSTPOST,1759449599,1759435200,1761163200,1761163200,1761163200,1761168600,1761168600,False,1.7,3.24,1.70742,255.35603,74.82599,0.20717435,100.778595,0.30063292,15,0,2.6 - Hold,False,NMS,finmb_27444752,America/New_York,EDT,-14400000,us_market,False,True,1277818200000,0.76835,439.35,3.35001,-23.46,435.57 - 470.75,NasdaqGS,89618395,223.89,1.0555372,212.11 - 488.54,-52.54001,-0.10754494,74.34421,Tesla,8.1322
