Date,Close_TSM,High_TSM,Low_TSM,Open_TSM,Volume_TSM,SharesOutstanding
2001-01-02,4.270320892333984,4.39146456506791,4.209749055967022,4.39146456506791,2782737,5186523104
2001-01-03,4.679183006286621,4.785183632262056,4.088606117381316,4.164321054299166,6085215,5186523104
2001-01-04,4.679183006286621,4.754897943204472,4.633753758426356,4.679183006286621,6000309,5186523104
2001-01-05,4.876040458679199,4.997184137632015,4.845754300849758,4.845754300849758,5165880,5186523104
2001-01-08,4.815469264984131,4.845754950692577,4.7246112554937145,4.845754950692577,3272802,5186523104
2001-01-09,5.088042736053467,5.178900744093536,4.876041034748328,4.876041034748328,2632091,5186523104
2001-01-10,5.330331325531006,5.330331325531006,5.012328492123885,5.088043429783552,6104381,5186523104
2001-01-11,5.330331325531006,5.360617491067911,5.057757740429243,5.178901450211672,5024095,5186523104
2001-01-12,5.421187877655029,5.481760197643613,5.3303303500371735,5.421187877655029,3190781,5186523104
2001-01-16,5.284903049468994,5.4666186311991405,5.2394737968994765,5.4666186311991405,4018204,5186523104
2001-01-17,5.708904266357422,5.708904266357422,5.527188757306143,5.633189351873776,4698690,5186523104
2001-01-18,6.117766380310059,6.223767483313058,5.67862031410505,5.67862031410505,5319411,5186523104
2001-01-19,6.072336196899414,6.450910320333225,6.026906959235967,6.178337275264972,5659242,5186523104
2001-01-22,5.814906120300293,6.04205091294558,5.79976303888743,5.996622144889545,2203644,5186523104
2001-01-23,6.042050361633301,6.07233652169554,5.7543342219545845,5.8300491459276715,2292054,5186523104
2001-01-24,5.996622562408447,6.16319551718259,5.996622562408447,6.087480581029124,1495337,5186523104
2001-01-25,5.845193386077881,6.057195137313725,5.769478440909176,6.026908968773185,2416322,5186523104
2001-01-26,5.406044960021973,5.5271891167842675,5.330330040613969,5.51204603766617,6741383,5186523104
2001-01-29,5.277028560638428,5.407863542668554,5.131655723472582,5.407863542668554,6380326,5186523104
2001-01-30,5.589577674865723,5.679224742648527,5.364250501886129,5.364250501886129,6575486,5186523104
2001-01-31,5.848826885223389,6.047503116653925,5.768872019725618,5.778563763880013,3775851,5186523104
2001-02-01,5.778563976287842,5.863364478888605,5.638036776070436,5.693762997504476,3349465,5186523104
2001-02-02,5.604116439819336,5.839134917130908,5.604116439819336,5.720414508116388,2991911,5186523104
2001-02-05,5.327908039093018,5.383634736130462,5.269759001181343,5.3303313323324435,3880335,5186523104
2001-02-06,4.986281394958496,5.184957578075213,4.986281394958496,4.995972660573597,7650415,5186523104
2001-02-07,4.857870101928711,4.923288067196737,4.816680783412776,4.882099224863401,4502293,5186523104
2001-02-08,5.1050028800964355,5.197072295610814,5.0323164743649516,5.075928603513359,3500730,5186523104
2001-02-09,4.974167823791504,5.085620257575708,4.974167823791504,5.085620257575708,1624345,5186523104
2001-02-12,5.153461933135986,5.184959989582107,4.9669006976341,4.9669006976341,2033214,5186523104
2001-02-13,5.269758224487305,5.427245595612934,5.257644140988622,5.33033054671083,3050439,5186523104
2001-02-14,5.444206237792969,5.446629054692567,5.088043106083321,5.136500396440411,6172800,5186523104
2001-02-15,5.638035297393799,5.7252590703831645,5.516891617969798,5.572617348606156,3260437,5186523104
2001-02-16,5.398170471191406,5.432090855017384,5.330330179721947,5.354558821233718,2901647,5186523104
2001-02-20,5.114693641662598,5.434513479804012,5.0880417107110585,5.39816980772943,2767693,5186523104
2001-02-21,5.032316207885742,5.233415221348433,5.017778832272747,5.1001569766247234,2998918,5186523104
2001-02-22,5.003242015838623,5.088042986239986,4.855446855166344,4.99597356531103,3160075,5186523104
2001-02-23,4.882097244262695,4.894211324632924,4.712495357255443,4.869982687710062,3137200,5186523104
2001-02-26,4.906328201293945,4.966900060335574,4.794875752089688,4.966900060335574,1761596,5186523104
2001-02-27,4.693112850189209,4.88694291849276,4.693112850189209,4.88694291849276,2114410,5186523104
2001-02-28,4.562280178070068,4.724612762363663,4.55985688435257,4.693115182045791,2020643,5186523104
2001-03-01,4.341796398162842,4.387831342165166,4.155234757915677,4.361179407168423,4545776,5186523104
2001-03-02,4.506552696228027,4.76822361161389,4.273956538632864,4.288493917528214,3508767,5186523104
2001-03-05,4.60831356048584,4.724611631413974,4.605890743530993,4.605890743530993,1854540,5186523104
2001-03-06,5.199495315551758,5.230992886248604,4.85060064963934,4.869984136362435,7236806,5186523104
2001-03-07,5.049277305603027,5.160729744986267,5.049277305603027,5.160729744986267,5045321,5186523104
2001-03-08,4.809411525726318,4.966898893661525,4.806989185258182,4.869983846722754,2332240,5186523104
2001-03-09,4.496859550476074,4.688266784780964,4.496859550476074,4.688266784780964,2597675,5186523104
2001-03-12,4.366025924682617,4.6155822756982126,4.366025924682617,4.482324002271481,2748321,5186523104
2001-03-13,4.80214262008667,4.8118343619521315,4.555009154798304,4.555009154798304,2246303,5186523104
2001-03-14,4.736724376678467,4.773067569435173,4.433864754494181,4.433864754494181,5715709,5186523104
2001-03-15,4.853024005889893,4.966899253823128,4.850600712881001,4.906327404617002,4300538,5186523104
2001-03-16,4.794873237609863,4.869982436764597,4.748838782210294,4.821524689233448,2518333,5186523104
2001-03-19,4.739149570465088,4.768223853548376,4.596199543742467,4.736726753223367,3709698,5186523104
2001-03-20,4.579240322113037,4.717343777037975,4.576817028424583,4.7003835783149075,2932765,5186523104
2001-03-21,4.542896270751953,4.700383205600572,4.506553058681864,4.57923995900469,3135757,5186523104
2001-03-22,4.821526527404785,4.845755172316162,4.557432821704841,4.567124089196367,4317642,5186523104
2001-03-23,5.075928688049316,5.085619955010901,4.882098586992274,4.966899077636279,3615930,5186523104
2001-03-26,4.94024658203125,5.063813066992069,4.9305548409181315,5.063813066992069,2012605,5186523104
2001-03-27,4.908749580383301,4.932978700197974,4.734302489103355,4.80941171292726,2801078,5186523104
2001-03-28,4.741570949554443,4.8699840467742925,4.741570949554443,4.8699840467742925,2789332,5186523104
2001-03-29,4.760954856872559,4.882099038370592,4.724611650041406,4.741571368792203,3577599,5186523104
2001-03-30,4.724611759185791,4.7609549668565165,4.651925343844341,4.7609549668565165,2439815,5186523104
2001-04-02,4.252151012420654,4.591354004592107,4.252151012420654,4.591354004592107,4307544,5186523104
2001-04-03,4.07528018951416,4.283647669902037,4.07528018951416,4.2594190260009,3499493,5186523104
2001-04-04,4.019552230834961,4.237611359860953,4.01228330749136,4.118890056283934,3775232,5186523104
2001-04-05,4.458095073699951,4.458095073699951,4.271533407444201,4.3006081630971424,4467052,5186523104
2001-04-06,4.237611770629883,4.349063685484452,4.198845286798335,4.349063685484452,2211888,5186523104
2001-04-09,4.15281343460083,4.3127236735350305,4.075281370699162,4.288494546428749,1796012,5186523104
2001-04-10,4.40721321105957,4.40721321105957,4.261840903508706,4.276377800936087,4819660,5186523104
2001-04-11,4.799721717834473,4.865140174686625,4.724612942838317,4.785184812070338,7760051,5186523104
2001-04-12,4.911172866821289,4.918441317046565,4.620427715072229,4.676153452497747,5181542,5186523104
2001-04-16,4.656771659851074,4.833641119614667,4.6398114637764225,4.833641119614667,3018908,5186523104
2001-04-17,4.588931083679199,4.69553789921703,4.492016013273278,4.506552916697191,3583369,5186523104
2001-04-18,5.386055946350098,5.5217369943325645,4.806988557044978,4.821525455049115,13422590,5186523104
2001-04-19,5.277028560638428,5.3303314898288,5.175267384149291,5.3303314898288,5596181,5186523104
2001-04-20,5.063815116882324,5.226148155827452,4.9838602441078015,5.204341848541102,5445328,5186523104
2001-04-23,4.882097244262695,4.99112634850678,4.826370569830024,4.99112634850678,4475090,5186523104
2001-04-24,4.89421272277832,5.039585538209423,4.872406895700164,4.89421272277832,3334833,5186523104
2001-04-25,4.94024658203125,4.962051928125286,4.821525253353336,4.857868449208268,4793694,5186523104
2001-04-26,4.952362060546875,5.025048472765846,4.906327586772231,4.954784877463165,3468993,5186523104
2001-04-27,5.281872272491455,5.281872272491455,4.942669396102832,5.003241236275983,11742809,5186523104
2001-04-30,5.873054504394531,5.936049639926535,5.487817146224597,5.5120462642826755,13056999,5186523104
2001-05-01,6.006312370300293,6.008734710342332,5.669532343814725,5.8270192078649465,15228700,5186523104
2001-05-02,5.950586318969727,6.0523474682070555,5.827019821416165,5.911820779113938,8730495,5186523104
2001-05-03,5.693762302398682,5.93605017139454,5.669533658353859,5.790677354760516,7867832,5186523104
2001-05-04,5.5726189613342285,5.667111687192221,5.344868435254225,5.354560180027845,5668310,5186523104
2001-05-07,5.512045860290527,5.713144858811505,5.512045860290527,5.5750405150229865,2738429,5186523104
2001-05-08,5.51931619644165,5.577465238270976,5.415132198883297,5.560505041547928,3581102,5186523104
2001-05-09,5.378787994384766,5.485394789465565,5.359405460205575,5.412708381563433,5023064,5186523104
2001-05-10,5.378787994384766,5.543543820550763,5.354559350478235,5.4999321662825,4777001,5186523104
2001-05-11,5.209186553955078,5.381210339167403,5.182534619431268,5.381210339167403,5642961,5186523104
2001-05-14,4.945093154907227,5.075929078410762,4.923287802566733,5.075929078410762,11792062,5186523104
2001-05-15,4.877253532409668,4.966900152109968,4.848179249052833,4.966900152109968,7476069,5186523104
2001-05-16,4.935401439666748,4.986282019061853,4.773068910835865,4.833640280876539,10381425,5186523104
2001-05-17,5.153461933135986,5.180113878338178,4.964477880103481,4.9669006976341,8503186,5186523104
2001-05-18,5.027469635009766,5.136498741271307,5.003240521456167,5.136498741271307,4265710,5186523104
2001-05-21,5.112272262573242,5.112272262573242,4.785183853309676,4.809412500911485,9289392,5186523104
2001-05-22,5.184958457946777,5.327907507122338,5.136500216918184,5.136500216918184,11670267,5186523104
2001-05-23,5.124385356903076,5.245529036400639,5.124385356903076,5.245529036400639,6363839,5186523104
2001-05-24,5.160728931427002,5.170420197924249,5.061390592735154,5.126808546321615,5375054,5186523104
2001-05-25,5.051698684692383,5.197071473149413,5.039584603109265,5.1243850789208985,4681585,5186523104
2001-05-29,4.971745491027832,5.0105115173204124,4.930556647614791,4.993551321294582,3514125,5186523104
2001-05-30,4.731880187988281,4.816680203316426,4.724611261510268,4.773069025361044,5321678,5186523104
2001-05-31,4.811835289001465,4.850600835384474,4.74884062137805,4.74884062137805,4378437,5186523104
2001-06-01,4.819103240966797,4.869983818887277,4.748840129951866,4.821526057603603,3976575,5186523104
2001-06-04,4.748840808868408,4.850601026892456,4.727034503654589,4.840910235142305,4274571,5186523104
2001-06-05,5.083197116851807,5.136500037280993,4.821526243436116,4.821526243436116,7064315,5186523104
2001-06-06,4.979012966156006,5.061390636830328,4.966898882928909,5.0541221868940704,12601968,5186523104
2001-06-07,5.403017044067383,5.463588891135671,4.99112772211097,4.99112772211097,13007539,5186523104
2001-06-08,5.369096279144287,5.449051130689898,5.245529300788115,5.349713270400427,6320356,5186523104
2001-06-11,5.228569507598877,5.395748149340266,5.214032607068569,5.369096688852163,4704460,5186523104
